t_sec,q,w,o,p
15.16667,0,1,0,1
15.18333,0,1,0,1
15.20000,0,1,0,1
15.21667,0,1,0,1
15.23333,0,1,0,1
15.25000,0,1,0,0
15.26667,0,1,0,0
15.28333,0,1,0,0
15.30000,0,1,0,0
15.31667,0,1,0,0
15.33333,0,1,0,0
15.35000,0,1,0,0
15.36667,0,1,0,0
15.38333,0,1,1,0
15.40000,0,1,1,0
15.41667,0,1,1,0
15.43333,0,1,1,0
15.45000,0,1,1,0
15.46667,0,1,1,0
15.48333,1,0,1,0
15.50000,1,0,1,0
15.51667,1,0,1,1
15.53333,1,0,1,1
15.55000,1,0,0,1
15.56667,1,0,0,1
15.58333,1,0,0,1
15.60000,1,0,0,1
15.61667,0,0,0,0
15.63333,0,0,0,0
15.65000,0,0,0,0
15.66667,0,0,0,0
15.68333,0,0,0,0
15.70000,0,0,0,0
15.71667,0,0,0,0
15.73333,0,0,0,0
15.75000,0,0,0,0
15.76667,0,0,0,0
15.78333,0,0,0,0
15.80000,0,0,0,0
15.81667,0,0,0,0
15.83333,0,0,0,0
15.85000,1,0,0,0
15.86667,1,0,0,0
15.88333,1,0,0,0
15.90000,1,0,0,0
15.91667,1,0,0,0
15.93333,1,0,0,0
15.95000,1,0,0,0
15.96667,1,0,0,0
15.98333,1,0,0,0
16.00000,1,0,0,0
16.01667,1,0,1,0
16.03333,1,0,1,0
16.05000,1,0,1,0
16.06667,1,0,1,0
16.08333,1,0,1,0
16.10000,1,0,1,0
16.11667,1,0,1,0
16.13333,1,0,1,0
16.15000,1,0,1,0
16.16667,1,0,1,0
16.18333,1,0,1,0
16.20000,1,0,1,0
16.21667,1,0,1,0
16.23333,1,0,1,0
16.25000,1,0,1,0
16.26667,1,0,1,0
16.28333,1,0,1,0
16.30000,1,0,1,0
16.31667,1,0,0,0
16.33333,1,0,0,0
16.35000,1,0,0,1
16.36667,1,0,0,1
16.38333,1,0,0,1
16.40000,1,0,0,1
16.41667,1,0,0,0
16.43333,1,0,0,0
16.45000,1,0,0,0
16.46667,1,0,0,0
16.48333,1,0,0,0
16.50000,1,0,0,0
16.51667,1,1,0,0
16.53333,1,1,0,0
16.55000,1,1,0,0
16.56667,1,1,0,0
16.58333,0,1,0,0
16.60000,0,1,0,0
16.61667,0,1,0,0
16.63333,0,1,0,0
16.65000,0,1,0,0
16.66667,0,1,0,0
16.68333,0,1,0,0
16.70000,0,1,0,0
16.71667,0,1,0,0
16.73333,0,1,0,0
16.75000,0,1,0,0
16.76667,0,1,0,0
16.78333,0,1,0,0
16.80000,0,1,0,0
16.81667,0,1,0,0
16.83333,0,1,0,0
16.85000,0,1,0,0
16.86667,0,1,0,0
16.88333,0,1,0,0
16.90000,0,1,0,0
16.91667,0,1,1,0
16.93333,0,1,1,0
16.95000,0,1,1,0
16.96667,0,1,1,0
16.98333,0,1,0,0
17.00000,0,1,0,0
17.01667,0,1,0,1
17.03333,0,1,0,1
17.05000,0,1,0,1
17.06667,0,1,0,1
17.08333,0,1,0,1
17.10000,0,1,0,1
17.11667,0,1,0,1
17.13333,0,1,0,1
17.15000,0,1,0,1
17.16667,0,1,0,1
17.18333,0,1,0,1
17.20000,0,1,0,1
17.21667,0,1,0,1
17.23333,0,1,0,1
17.25000,0,1,0,1
17.26667,0,1,0,1
17.28333,0,1,0,1
17.30000,0,1,0,1
17.31667,0,1,0,1
17.33333,0,1,0,1
17.35000,0,1,0,1
17.36667,0,1,0,1
17.38333,0,1,0,0
17.40000,0,1,0,0
17.41667,0,1,0,0
17.43333,0,1,0,0
17.45000,0,1,0,0
17.46667,0,1,0,0
17.48333,0,1,0,0
17.50000,0,1,0,0
17.51667,0,1,1,0
17.53333,0,1,1,0
17.55000,0,1,1,0
17.56667,0,1,1,0
17.58333,1,1,1,0
17.60000,1,1,1,0
17.61667,1,0,1,0
17.63333,1,0,1,0
17.65000,1,0,1,1
17.66667,1,0,1,1
17.68333,1,0,0,1
17.70000,1,0,0,1
17.71667,1,0,0,1
17.73333,1,0,0,1
17.75000,1,0,0,1
17.76667,1,0,0,1
17.78333,1,0,0,0
17.80000,1,0,0,0
17.81667,1,0,0,0
17.83333,1,0,0,0
